"","author","title","year","doi"
"38","LEACH, ML; ALSTON, DG; TEPEDINO, VJ","BEES AND BRAN BAIT - IS CARBARYL BRAN BAIT LETHAL TO ALFALFA LEAFCUTTING BEE (HYMENOPTERA, MEGACHILIDAE) ADULTS OR LARVAE",1994,"10.1093/jee/87.2.311"
"39","Rundlof, Maj; Stuligross, Clara; Lindh, Arvid; Malfi, Rosemary L.; Burns, Katherine; Mola, John M.; Cibotti, Staci; Williams, Neal M.","Flower plantings support wild bee reproduction and may also mitigate pesticide exposure effects",2022,"10.1111/1365-2664.14223"
"40","Slater, Garett P.; Smith, Nicholas M. A.; Harpur, Brock A.","Prospects in Connecting Genetic Variation to Variation in Fertility in Male Bees",2021,"10.3390/genes12081251"
"41","Kaur, Gurleen; Sharma, Rohit; Chaudhary, Ashun; Singh, Randeep","FACTORS AFFECTING IMMUNE RESPONSES IN HONEY BEES: AN INSIGHT",2021,"10.2478/JAS-2021-0012"
"42","Fountain, Michelle T.","Impacts of Wildflower Interventions on Beneficial Insects in Fruit Crops: A Review",2022,"10.3390/insects13030304"
"43","Begosh, Angela; Smith, Loren M.; McMurry, Scott T.","Major land use and vegetation influences on potential pollinator communities in the High Plains of Texas",2022,"10.1007/s10841-022-00380-9"
"44","Rocha Almeida, Felipe Chagas; Magalhaes, Diego Martins; Favaris, Arodi Prado; Rodriguez, Jonathan; Xavier Azevedo, Kamila Emmanuella; Simoes Bento, Jose Mauricio; Alves, Denise Araujo","Side effects of a fungus-based biopesticide on stingless bee guarding behaviour",2022,"10.1016/j.chemosphere.2021.132147"
"45","Siviter, Harry; Pardee, Gabriella L.; Baert, Nicolas; McArt, Scott; Jha, Shalene; Muth, Felicity","Wild bees are exposed to low levels of pesticides in urban grasslands and community gardens",2023,"10.1016/j.scitotenv.2022.159839"
"46","Brasil, Sandara N. R.; Kelemen, Evan P.; Rehan, Sandra M.","Historic DNA uncovers genetic effects of climate change and landscape alteration in two wild bee species",2022,"10.1007/s10592-022-01488-w"
"47","Brigante, Janete; Costa, Joyce Oliveira; Espindola, Evaldo L. G.; Daam, Michiel A.","Acute toxicity of the insecticide abamectin and the fungicide difenoconazole (individually and in mixture) to the tropical stingless bee Melipona scutellaris",2021,"10.1007/s10646-021-02458-7"
"48","Soares Pires, Carmen Silvia; Pereira, Fabie de Mello; do Rego Lopes, Maria Teresa; Ferreira Nocelli, Roberta Cornelio; Malaspina, Osmar; Pettis, Jeffery Stuart; Teixeira, Erica Weinstein","Weakness and collapse of bee colonies in Brazil: are there cases of CCD?",2016,"10.1590/S0100-204X2016000500003"
"49","Robinson, Anthony C.; Peeler, Jamie L.; Prestby, Tim; Goslee, Sarah C.; Anton, Kate; Grozinger, Christina M.","Beescape: Characterizing user needs for environmental decision support in beekeeping",2021,"10.1016/j.ecoinf.2021.101366"
"50","Hladik, Michelle L.; Kraus, Johanna M.; Smith, Cassandra D.; Vandever, Mark; Kolpin, Dana W.; Givens, Carrie E.; Smalling, Kelly L.","Wild Bee Exposure to Pesticides in Conservation Grasslands Increases along an Agricultural Gradient: A Tale of Two Sample Types",2022,"10.1021/acs.est.2c07195"
"51","Jiang, Shanshan; Li, Hui; He, Limei; Wu, Kongming","Population Fitness of Eupeodes corollae Fabricius (Diptera: Syrphidae) Feeding on Different Species of Aphids",2022,"10.3390/insects13060494"
"52","Bloom, Elias H. H.; Bauer, Dana Marie; Kaminski, Abigail; Kaplan, Ian; Szendrei, Zsofia","Socioecological Factors and Farmer Perceptions Impacting Pesticide Use and Pollinator Conservation on Cucurbit Farms",2021,"10.3389/fsufs.2021.672981"
"53","Grass, Ingo; Albrecht, Joerg; Farwig, Nina; Jauker, Frank","Plant traits and landscape simplification drive intraspecific trait diversity of Bombus terrestris in wildflower plantings",2021,"10.1016/j.baae.2021.10.002"
"54","Zhao, Huiyue; Mashilingi, Shibonage K.; Liu, Yanjie; An, Jiandong","Factors Influencing the Reproductive Ability of Male Bees: Current Knowledge and Further Directions",2021,"10.3390/insects12060529"
"55","Peterson, Eric M.; Green, Frank B.; Subbiah, Seenivasan; Emert, Amanda; Smith, Philip N.","Agrochemical occurrence on colocated wildflowers and wild bees collected near beef cattle feed yards and row crops",2022,"10.1002/ieam.4436"
"56","Munoz, Alejandra E.; Amouroux, Paul; Zaviezo, Tania","Native flowering shrubs promote beneficial insects in avocado orchards",2021,"10.1111/afe.12447"
"57","ESTESEN, BJ; BUCK, NA; WALLER, GD; TAYLOR, KS; MAMOOD, A","RESIDUAL LIFE AND TOXICITY TO HONEY-BEES (HYMENOPTERA, APIDAE) OF SELECTED INSECTICIDES APPLIED TO COTTON IN ARIZONA",1992,"10.1093/jee/85.3.700"
"58","Park, Mia G.; Blitzer, E. J.; Gibbs, Jason; Losey, John E.; Danforth, Bryan N.","Negative effects of pesticides on wild bee communities can be buffered by landscape context",2015,"10.1098/rspb.2015.0299"
"59","Kremen, C; Williams, NM; Thorp, RW","Crop pollination from native bees at risk from agricultural intensification",2002,"10.1073/pnas.262413599"
"60","Park, Mia G.; Blitzer, E. J.; Gibbs, Jason; Losey, John E.; Danforth, Bryan N.","Negative effects of pesticides on wild bee communities can be buffered by landscape context",2015,"10.1098/rspb.2015.0299"
"61","RICHARDS, KW","NON-APIS BEES AS CROP POLLINATORS",1993,"10.5962/bhl.part.79885"
"62","Patricio, Gleiciani Buerger; Grisolia, Bruno Barufatti; Desuo, Ivan Cesar; Montagnana, Paula Carolina; Brocanelli, Felipe Goncalves; Gomig, Elizandra Goldoni; de Oliveira Campos, Maria Jose","The Importance of Bees for Eggplant Cultivations (Hymenoptera: Apidae, Andrenidae, Halictidae)",2012,"10.13102/sociobiology.v59i3.565"
"63","Kremen, C; Williams, NM; Bugg, RL; Fay, JP; Thorp, RW","The area requirements of an ecosystem service: crop pollination by native bee communities in California",2004,"10.1111/j.1461-0248.2004.00662.x"
"64","Nicholson, Charlie C.; Koh, Insu; Richardson, Leif L.; Beauchemin, Anna; Ricketts, Taylor H.","Farm and landscape factors interact to affect the supply of pollination services",2017,"10.1016/j.agee.2017.08.030"
"65","Isaacs, Rufus; Williams, Neal; Ellis, James; Pitts-Singer, Theresa L.; Bommarco, Riccardo; Vaughan, Mace","Integrated Crop Pollination: Combining strategies to ensure stable and sustainable yields of pollination-dependent crops",2017,"10.1016/j.baae.2017.07.003"
"66","Giannini, Tereza Cristina; Alves, Denise Araujo; Alves, Ronnie; Cordeiro, Guaraci Duran; Campbell, Alistair John; Awade, Marcelo; Bento, Jose Mauricio Simoes; Saraiva, Antonio Mauro; Imperatriz-Fonseca, Vera Lucia","Unveiling the contribution of bee pollinators to Brazilian crops with implications for bee management",2020,"10.1007/s13592-019-00727-3"
"67","Egan, Paul A.; Dicks, Lynn, V; Hokkanen, Heikki M. T.; Stenberg, Johan A.","Delivering Integrated Pest and Pollinator Management (IPPM)",2020,"10.1016/j.tplants.2020.01.006"
"68","Howlett, B. G.","Hybrid carrot seed crop pollination by the fly Calliphora vicina (Diptera: Calliphoridae)",2012,"10.1111/j.1439-0418.2011.01665.x"
"69","Main, Anson R.; Webb, Elisabeth B.; Goyne, Keith W.; Mengel, Doreen","Reduced species richness of native bees in field margins associated with neonicotinoid concentrations in non-target soils",2020,"10.1016/j.agee.2019.106693"
"70","Martin, Gabrielle; Fontaine, Colin; Accatino, Francesco; Porcher, Emmanuelle","New indices for rapid assessment of pollination services based on crop yield data: France as a case study",2019,"10.1016/j.ecolind.2019.01.022"
"71","Smith, Jordan P.; Heard, Tim A.; Beekman, Madeleine; Gloag, Ros","Flight range of the Australian stingless bee Tetragonula carbonaria (Hymenoptera: Apidae)",2017,"10.1111/aen.12206"
"72","Hinson, Eloise M.; Duncan, Michael; Lim, Julianne; Arundel, Jonathan; Oldroyd, Benjamin P.","The density of feral honey bee (Apis mellifera) colonies in South East Australia is greater in undisturbed than in disturbed habitats",2015,"10.1007/s13592-014-0334-x"
"73","Popak, Allan E.; Markwith, Scott H.","Economic Valuation of Bee Pollination Services for Passion Fruit (Malpighiales: Passifloraceae) Cultivation on Smallholding Farms in Sao Paulo, Brazil, Using the Avoided Cost Method",2019,"10.1093/jee/toz169"
"74","MACKENZIE, KE; WINSTON, ML","DIVERSITY AND ABUNDANCE OF NATIVE BEE POLLINATORS ON BERRY CROPS AND NATURAL VEGETATION IN THE LOWER FRASER VALLEY, BRITISH-COLUMBIA",1984,"10.4039/Ent116965-7"
"75","Lewis, Kathleen A.; Tzilivakis, John","Wild Bee Toxicity Data for Pesticide Risk Assessments",2019,"10.3390/data4030098"
"76","Shuler, RE; Roulston, TH; Farris, GE","Farming practices influence wild pollinator populations on squash and pumpkin",2005,"10.1603/0022-0493-98.3.790"
"77","Kleczkowski, Adam; Ellis, Ciaran; Hanley, Nick; Goulson, David","Pesticides and bees: Ecological-economic modelling of bee populations on farmland",2017,"10.1016/j.ecolmodel.2017.06.008"
"78","Egerer, Monika; Cecala, Jacob M.; Cohen, Hamutahl","Wild Bee Conservation within Urban Gardens and Nurseries: Effects of Local and Landscape Management",2020,"10.3390/su12010293"
"79","Tamburini, Giovanni; Bommarco, Riccardo; Kleijn, David; van der Putten, Wim H.; Marini, Lorenzo","Pollination contribution to crop yield is often context-dependent: A review of experimental evidence",2019,"10.1016/j.agee.2019.04.022"
"80","Tuell, Julianna K.; Isaacs, Rufus","Community and Species-Specific Responses of Wild Bees to Insect Pest Control Programs Applied to a Pollinator-Dependent Crop",2010,"10.1603/EC09314"
"81","WOOD, GW","RECUPERATION OF NATIVE BEE (HYMENOPTERA, ANDRENIDAE, APIDAE, HALICTIDAE) POPULATIONS IN BLUEBERRY FIELDS EXPOSED TO DRIFT OF FENITROTHION FROM FOREST SPRAY OPERATIONS IN NEW-BRUNSWICK",1979,"10.1093/jee/72.1.36"
"82","TORCHIO, PF","OSMIA-RIBIFLORIS, A NATIVE BEE SPECIES DEVELOPED AS A COMMERCIALLY MANAGED POLLINATOR OF HIGHBUSH BLUEBERRY (HYMENOPTERA, MEGACHILIDAE)",1990,NA
"83","Mallinger, Rachel E.; Werts, Peter; Gratton, Claudio","Pesticide use within a pollinator-dependent crop has negative effects on the abundance and species richness of sweat bees, Lasioglossum spp., and on bumble bee colony growth",2015,"10.1007/s10841-015-9816-z"
"84","Reeves, Alison M.; O'Neal, Scott T.; Fell, Richard D.; Brewster, Carlyle C.; Anderson, Troy D.","In-Hive Acaricides Alter Biochemical and Morphological Indicators of Honey Bee Nutrition, Immunity, and Development",2018,"10.1093/jisesa/iey086"
"85","Cariveau, Daniel P.; Winfree, Rachael","Causes of variation in wild bee responses to anthropogenic drivers",2015,"10.1016/j.cois.2015.05.004"
"86","Palma, Gerardo; Quezada-Euan, Jose Javier; Meltndez-Ramirez, Virginia; Irigoyen, Javier; Valdovinos-Nuez, Gustavo R.; Rejn, Manuel","Comparative efficiency of Nannotrigona perilampoides, Bombus impatiens (Hymenoptera : Apoidea), and mechanical vibration on fruit production of enclosed habanero pepper",2008,"10.1603/0022-0493(2008)101[132:CEONPB]2.0.CO;2"
"87","Klein, Alexandra-Maria; Brittain, Claire; Hendrix, Stephen D.; Thorp, Robbin; Williams, Neal; Kremen, Claire","Wild pollination services to California almond rely on semi-natural habitat",2012,"10.1111/j.1365-2664.2012.02144.x"
"88","STONE, GN; WILLMER, PG","POLLINATION OF CARDAMOM IN PAPUA-NEW-GUINEA",1989,"10.1080/00218839.1989.11101189"
"89","Grab, Heather; Poveda, Katja; Danforth, Bryan; Loeb, Greg","Landscape context shifts the balance of costs and benefits from wildflower borders on multiple ecosystem services",2018,"10.1098/rspb.2018.1102"
"90","Nabors, Annika J.; Cen, Henry J.; Hung, Keng-Lou J.; Kohn, Joshua R.; Holway, David A.","The effect of removing numerically dominant, non-native honey bees on seed set of a native plant",2018,"10.1007/s00442-017-4009-y"
"91","Carrie, Romain; Andrieu, Emilie; Ouin, Annie; Steffan-Dewenter, Ingolf","Interactive effects of landscape-wide intensity of farming practices and landscape complexity on wild bee diversity",2017,"10.1007/s10980-017-0530-y"
"92","Stuligross, Clara; Williams, Neal M.","Pesticide and resource stressors additively impair wild bee reproduction",2020,"10.1098/rspb.2020.1390"
"93","Morandin, L. A.; Long, R. F.; Kremen, C.","Pest Control and Pollination Cost-Benefit Analysis of Hedgerow Restoration in a Simplified Agricultural Landscape",2016,"10.1093/jee/tow086"
"94","Scott-Dupree, C. D.; Conroy, L.; Harris, C. R.","Impact of Currently Used or Potentially Useful Insecticides for Canola Agroecosystems on Bombus impatiens (Hymenoptera: Apidae), Megachile rotundata (Hymentoptera: Megachilidae), and Osmia lignaria (Hymenoptera: Megachilidae)",2009,"10.1603/029.102.0125"
"95","Woodcock, Ben A.; Isaac, Nicholas J. B.; Bullock, James M.; Roy, David B.; Garthwaite, David G.; Crowe, Andrew; Pywell, Richard F.","Impacts of neonicotinoid use on long-term population changes in wild bees in England",2016,"10.1038/ncomms12459"
"96","Cane, James H.; Tepedino, Vincent J.","Gauging the Effect of Honey Bee Pollen Collection on Native Bee Communities",2017,"10.1111/conl.12263"
"97","McNeil, Darin J.; McCormick, Elyse; Heimann, Ashley C.; Kammerer, Melanie; Douglas, Margaret R.; Goslee, Sarah C.; Grozinger, Christina M.; Hines, Heather M.","Bumble bees in landscapes with abundant floral resources have lower pathogen loads",2020,"10.1038/s41598-020-78119-2"
"98","Koch, Hauke; Brown, Mark J. F.; Stevenson, Philip C.","The role of disease in bee foraging ecology",2017,"10.1016/j.cois.2017.05.008"
"99","Liere, Heidi; Jha, Shalene; Philpott, Stacy M.","Intersection between biodiversity conservation, agroecology, and ecosystem services",2017,"10.1080/21683565.2017.1330796"
"100","Woodard, S. Hollis; Jha, Shalene","Wild bee nutritional ecology: predicting pollinator population dynamics, movement, and services from floral resources",2017,"10.1016/j.cois.2017.05.011"
"101","Brito, Pedro; Elias, Marcos; Silva-Neto, Carlos; Sujii, Edison; Silva, Daniela; Goncalves, Bruno; Franceschinelli, Edivani","The effects of field-realistic doses of imidacloprid onMelipona quadrifasciata(Apidae:Meliponini) workers",2020,"10.1007/s11356-020-08530-9"
"102","Torres-Ruiz, Alfonso; Wallace Jones, Robert; Ayala Barajas, Ricardo","Present and Potential Use of Bees as Managed Pollinators in Mexico",2013,"10.3958/059.038.0102"
"103","Russell, K. N.; Russell, G. J.; Kaplan, K. L.; Mian, S.; Kornbluth, S.","Increasing the conservation value of powerline corridors for wild bees through vegetation management: an experimental approach",2018,"10.1007/s10531-018-1552-8"
"104","Rowe, Logan; Gibson, Daniel; Landis, Douglas; Gibbs, Jason; Isaacs, Rufus","A Comparison of Drought-Tolerant Prairie Plants to Support Managed and Wild Bees in Conservation Programs",2018,"10.1093/ee/nvy091"
"105","Tan, Ken; Chen, Weiwen; Dong, Shihao; Liu, Xiwen; Wang, Yuchong; Nieh, James C.","A neonicotinoid impairs olfactory learning in Asian honey bees (Apis cerana) exposed as larvae or as adults",2015,"10.1038/srep10989"
"106","Marini, Lorenzo; Quaranta, Marino; Fontana, Paolo; Biesmeijer, Jacobus C.; Bommarco, Riccardo","Landscape context and elevation affect pollinator communities in intensive apple orchards",2012,"10.1016/j.baae.2012.09.003"
"107","Pritts, MP","Impacts of cultivation practices on pollination of Vaccinium",1997,"10.17660/ActaHortic.1997.446.12"
"108","Belsky, Joseph; Joshi, Neelendra K.","Impact of Biotic and Abiotic Stressors on Managed and Feral Bees",2019,"10.3390/insects10080233"
"109","Potts, Simon G.; Imperatriz-Fonseca, Vera; Ngo, Hien T.; Aizen, Marcelo A.; Biesmeijer, Jacobus C.; Breeze, Thomas D.; Dicks, Lynn V.; Garibaldi, Lucas A.; Hill, Rosemary; Settele, Josef; Vanbergen, Adam J.","Safeguarding pollinators and their values to human well-being",2016,"10.1038/nature20588"
"110","Barganska, Zaneta; Lambropoulou, Dimitra; Namiesnik, Jacek","Problems and Challenges to Determine Pesticide Residues in Bumblebees",2018,"10.1080/10408347.2018.1445517"
"111","Gomez-Escobar, Enoc; Liedo, Pablo; Montoya, Pablo; Mendez-Villarreal, Agustin; Guzman, Miguel; Vandame, Remy; Sanchez, Daniel","Effect of GF-120 (Spinosad) Aerial Sprays on Colonies of the Stingless Bee Scaptotrigona mexicana (Hymenoptera: Apidae) and the Honey Bee (Hymenoptera: Apidae)",2018,"10.1093/jee/toy152"
"112","Kovacs-Hostyanszki, Aniko; Espindola, Anahi; Vanbergen, Adam J.; Settele, Josef; Kremen, Claire; Dicks, Lynn V.","Ecological intensification to mitigate impacts of conventional intensive land use on pollinators and pollination",2017,"10.1111/ele.12762"
"113","Tucker, Sara K.; Ginsberg, Howard S.; Alm, Steven R.","Effect of Corolla Slitting and Nectar Robbery by the Eastern Carpenter Bee (Hymenoptera: Apidae) on Fruit Quality of Vaccinium corymbosum L. (Ericales: Ericaceae)",2019,"10.1093/ee/nvz055"
"114","Gross, Caroline L.; Whitehead, Joshua D.; de Souza, Camila Silveira; Mackay, David","Unsuccessful introduced biocontrol agents can act as pollinators of invasive weeds: Bitou Bush (Chrysanthemoides monilifera ssp rotundata) as an example",2017,"10.1002/ece3.3441"
"115","Marques, Alicia; Juan, Andreu; Ruiz, Maurici; Traveset, Anna; Leza, Mar","Improvement of almond production using Bombus terrestris (Hymenoptera: Apidae) in Mediterranean conditions",2019,"10.1111/jen.12690"
"116","Camp, Allison A.; Batres, Michael A.; Williams, Wanda C.; Koethe, Robert W.; Stoner, Kimberly A.; Lehmann, David M.","Effects of the Neonicotinoid Acetamiprid in Pollen on Bombus impatiens Microcolony Development",2020,"10.1002/etc.4886"
"117","Brittain, C. A.; Vighi, M.; Bommarco, R.; Settele, J.; Potts, S. G.","Impacts of a pesticide on pollinator species richness at different spatial scales",2010,"10.1016/j.baae.2009.11.007"
"118","Blaix, C.; Moonen, A. C.; Dostatny, D. F.; Izquierdo, J.; Le Corff, J.; Morrison, J.; Von Redwitz, C.; Schumacher, M.; Westerman, P. R.","Quantification of regulating ecosystem services provided by weeds in annual cropping systems using a systematic map approach",2018,"10.1111/wre.12303"
"119","Happe, Anne-Kathrin; Riesch, Friederike; Roesch, Verena; Galle, Robert; Tscharntke, Teja; Batary, Peter","Small-scale agricultural landscapes and organic management support wild bee communities of cereal field boundaries",2018,"10.1016/j.agee.2017.11.019"
"120","Tome, Hudson Vaner V.; Barbosa, Wagner F.; Correa, Alberto S.; Gontijo, Lessando M.; Martins, Gustavo F.; Guedes, Raul Narciso C.","Reduced-risk insecticides in Neotropical stingless bee species: impact on survival and activity",2015,"10.1111/aab.12217"
"121","Tian, Tian; Piot, Niels; Meeus, Ivan; Smagghe, Guy","Infection with the multi-host micro-parasite Apicystis bombi (Apicomplexa: Neogregarinorida) decreases survival of the solitary bee Osmia bicornis",2018,"10.1016/j.jip.2018.09.005"
"122","Kevan, PG","Pollinators as bioindicators of the state of the environment: species, activity and diversity",1999,"10.1016/S0167-8809(99)00044-4"
"123","Nooten, Sabine S.; Odanaka, Katherine A.; Rehan, Sandra M.","Effects of Farmland and Seasonal Phenology on Wild Bees in Blueberry Orchards",2020,"10.1656/045.027.0420"
"124","Czerwinski, Mitchell Andrew; Sadd, Ben Michael","Detrimental interactions of neonicotinoid pesticide exposure and bumblebee immunity",2017,"10.1002/jez.2087"
