id_code;study_type;nature_x;total_sample_size;sample_size_control;mean_control;sd_control;sample_size_treatment;mean_treatment;sd_treatment;effect_type;plant_species;pesticide_effect;yi;vi;statistic;value;country;sampling_method;farm_type;pesticide_applied;exposure_type
C0177;field;categorical;36;18;2.89;1.74;18;2.11;2.04;community;Triticum_ssp.;consequences;-0.40225108;0.11335842;NA;NA;germany;pan_trap;monoculture;NA;NA
C0177;field;categorical;36;18;10.54;6.83;18;9.62;5.01;community;Triticum_ssp.;consequences;-0.1501837;0.11142438;NA;NA;germany;pan_trap;monoculture;NA;NA
C0177;field;categorical;36;18;13.64;10.78;18;10.4;10.39;community;Triticum_ssp.;consequences;-0.29923223;0.11235472;NA;NA;germany;pan_trap;monoculture;NA;NA
C0197;field;categorical;18;8;2.9;1.98;10;3.5;2.53;community;Prunus_dulcis;consequences;0.24781325;0.22670587;NA;NA;usa;observation;monoculture;NA;NA
C2003;field;categorical;8;4;85.5;131;4;57.5;111;community;Brassica_napus;consequences;-0.20032158;0.50250805;NA;NA;canada;pan_trap;monoculture;roundap;NA
C0142;field;continuous;25;12;NA;NA;13;NA;NA;community;Cucurbita_ssp.;consequences;0.3;0.15;F;0.62;usa;observation;polyculture;NA;NA
C0142;field;continuous;25;12;NA;NA;13;NA;NA;community;Cucurbita_ssp.;consequences;0;0.15;F;0;usa;observation;polyculture;NA;NA
C0120;field;continuous;12;6;NA;NA;6;NA;NA;community;Cajanus_cajan;consequences;-1.015385;0.4004734;r;0.4813523;kenya;observation;monoculture;mixture;NA
C0135;field;continuous;15;2;NA;NA;13;NA;NA;community;Vaccinium_corymbosum;consequences;-1.317647;0.3808997;r;0.5744563;usa;pan_trap;monoculture;mixture;NA
C0135;field;continuous;15;2;NA;NA;13;NA;NA;community;Vaccinium corymbosum;consequences;-1.204706;0.3543253;r;0.5385165;usa;pan_trap;monoculture;mixture;NA
C0135;field;continuous;15;2;NA;NA;13;NA;NA;community;Vaccinium corymbosum;consequences;-1.176471;0.3543253;r;0.5291503;usa;pan_trap;monoculture;mixture;NA
C0135;field;continuous;15;2;NA;NA;13;NA;NA;community;Vaccinium corymbosum;consequences;-1.53;0.59;F;4.58;usa;pan_trap;monoculture;mixture;NA
C0135;field;continuous;15;2;NA;NA;13;NA;NA;community;Vaccinium corymbosum;consequences;1.45;0.58;F;4.12;usa;pan_trap;monoculture;mixture;NA
C0135;field;continuous;15;2;NA;NA;13;NA;NA;community;Vaccinium corymbosum;consequences;0.77;0.53;F;1.16;usa;pan_trap;monoculture;mixture;NA
C0135;field;continuous;15;2;NA;NA;13;NA;NA;community;Vaccinium corymbosum;consequences;-1.99;0.64;F;7.76;usa;pan_trap;monoculture;mixture;NA
C0135;field;continuous;15;2;NA;NA;13;NA;NA;community;Vaccinium corymbosum;consequences;-2.27;0.68;F;10.08;usa;pan_trap;monoculture;mixture;NA
C0135;field;continuous;15;2;NA;NA;13;NA;NA;community;Vaccinium corymbosum;consequences;1;0.54;F;1.95;usa;pan_trap;monoculture;mixture;NA
C0135;field;continuous;15;2;NA;NA;13;NA;NA;community;Vaccinium corymbosum;consequences;0.97;0.54;F;1.83;usa;pan_trap;monoculture;mixture;NA
C0135;field;continuous;15;2;NA;NA;13;NA;NA;community;Vaccinium corymbosum;consequences;-1.61;0.6;F;5.06;usa;pan_trap;monoculture;mixture;NA
C0135;field;continuous;15;2;NA;NA;13;NA;NA;community;Vaccinium corymbosum;consequences;1.19;0.56;F;2.79;usa;pan_trap;monoculture;mixture;NA
