id_code ,study_type,variable_x,nature_x,variable_y,nature_y,effect_type,plant_specie,total_sample_size,sample_size_control,mean_control,sd_control,sample_size_treatment,mean_treatment ,sd_treatment,test,parametric,distribution,statistic,value,df,p_value,coefficient_estimated,standard_error,where,notes,,,,,,
C0072,field,pesticide_application ,categorical,bee_abundance,continuous ,community,,56,32,"14,62","1,32",30,"29,62","9,89",anova,yes,normal,F,"0,13","1,57","0,71",NA,NA,page_5_table1,,,,,,,
C0072,field,pesticide_application ,categorical,bee_abundance,continuous ,community,,60,30,"201,49","31,1",30,"274,8","40,93",walds_chi_square,no,negative_binomial,chi_squared,"5,73","1,57","0,02",NA,NA,page_5_table1,,,,,,,
C0072,field,pesticide_application ,categorical,bee_abundance,continuous ,community,,60,30,"78,38","13,32",30,"158,34","30,46",walds_chi_square,no,negative_binomial,chi_squared,"4,62","1,56","0,3",NA,NA,page_5_table1,,,,,,,
C0072,field,pesticide_application ,categorical,bee_abundance,continuous ,community,,60,30,"70,76","22,85",30,"37,76","6,98",anova,yes,normal,F,"0,32","1,54","0,57",NA,NA,page_5_table1,,,,,,,
C0072,field,pesticide_application ,categorical,bee_abundance,continuous ,community,,60,30,19,"2,74",30,"20,16","3,64",anova,yes,normal,F,"5,15","1,54","0,3",NA,NA,page_5_table1,,,,,,,
C0072,field,pesticide_application ,categorical,bee_abundance,continuous ,community,,60,30,"26,49","4,38",30,"31,19","3,27",anova,yes,normal,F,"2,68","1,54","0,11",NA,NA,page_5_table1,,,,,,,
C0072,field,pesticide_application ,categorical,bee_abundance,continuous ,community,,60,30,"10,18","5,28",30,"54,83","2,11",anova,yes,normal,F,"0,01","1,56","0,92",NA,NA,page_5_table1,,,,,,,
C0072,field,pesticide_application ,categorical,bee_richness,continuous ,community,,60,30,9,"1,19",30,"6,17","0,68",,,,,,,,,,page_5_table1,,,,,,,
C0072,field,pesticide_application ,categorical,bee_richness,continuous ,community,,60,30,"9,23","0,9",30,"11,66",1,,,,,,,,,,page_5_table1,,,,,,,
C0072,field,pesticide_application ,categorical,bee_richness,continuous ,community,,60,30,5,"2,43",30,11,"0,56",,,,,,,,,,page_5_table1,,,,,,,
C0073,laboratory,dose_of_insecticide,categorical,distance_walked_in_30s,continuous ,pollination,NA,30,15,"71,72","56,25",15,"20,78",45,kruskal_wallis,no,NA,chi_squared,"526,463",,0,,,Page_5_figure_4,p = 0,,,,,,
C0073,laboratory,dose_of_insecticide,categorical,distance_walked_in_30s,continuous ,pollination,NA,30,15,"71,72","56,25",15,"11,41","20,78",kruskal_wallis,no,NA,chi_squared,"526,463",,0,,,Page_5_figure_4,,,,,,,
C0073,laboratory,dose_of_insecticide,categorical,distance_walked_in_30s,continuous ,pollination,NA,30,15,"71,72","56,25",15,"14,37","20,47",kruskal_wallis,no,NA,chi_squared,"526,463",,0,,,Page_5_figure_4,,,,,,,
C0074,laboratory,pesticide_exposure,categorical,probability_of_nesting,continuous ,community,,68,34,"91,42","3,78",34,"83,09","5,8",generalized_linear_mixed_model,no,negative_binomial,chi_squared,"3,2",1,"0,074",,,page_3_and_4,,,,,,,
C0074,laboratory,pesticide_exposure,categorical,number_of_surviving_offspring_produced,continuous ,community,,68,34,"32,7","2,9",34,"19,1","1,9",generalized_linear_mixed_model,no,negative_binomial,chi_squared,"17,59",1,"<0,001",,,page_3_and_4,,,,,,,
C0074,laboratory,pesticide_exposure,categorical,proportion_of_daughters_produced,continuous ,community,,68,34,"0,42","0,16",34,"0,29","0,14",generalized_linear_mixed_model,no,negative_binomial,chi_squared,"8,32",1,"<0,004",,,page_3_and_4,,,,,,,
C0091,laboratory,type_of_herbicide,categorical,mean_lethal_time50(hours),continuous ,community,,60,30,"714,13","154,96",30,"421,6","60,48",,,,,,,,,,page_5_table_3,topical_exposure_picloran,,,,,,
C0091,laboratory,type_of_herbicide,categorical,mean_lethal_time50(hours),continuous ,community,,60,30,"714,13","154,96",30,"407,2","54,94",,,,,,,,,,page_5_table_3,"topical_exposure_2,4-D",,,,,,
C0091,laboratory,type_of_herbicide,categorical,mean_lethal_time50(hours),continuous ,community,,60,30,"714,13","154,96",30,"606,4","73,81",,,,,,,,,,page_5_table_3,topical_exposure_glyphosate,,,,,,
C0091,laboratory,type_of_herbicide,categorical,mean_lethal_time50(hours),continuous ,community,,60,30,"714,13","154,96",30,"305,6","56,88",,,,,,,,,,page_5_table_3,"topical_exposure_2,3D+glyphosate",,,,,,
C0091,laboratory,type_of_herbicide,categorical,mean_lethal_time50(hours),continuous ,community,,60,30,"679,2","98,71",30,56,"4,2",,,,,,,,,,page_6_table_5,oral_exposure_picloran,,,,,,
C0091,laboratory,type_of_herbicide,categorical,mean_lethal_time50(hours),continuous ,community,,60,30,"679,2","98,71",30,"147,2","19,89",,,,,,,,,,page_6_table_5,"oral_exposure_2,4-D",,,,,,
C0091,laboratory,type_of_herbicide,categorical,mean_lethal_time50(hours),continuous ,community,,60,30,"679,2","98,71",30,"292,8","24,53",,,,,,,,,,page_6_table_5,oral_exposure_glyphosate,,,,,,
C0091,laboratory,type_of_herbicide,categorical,mean_lethal_time50(hours),continuous ,community,,60,30,"679,2","98,71",30,"115,2","12,47",,,,,,,,,,page_6_table_5,"oral_exposure_2,3D+glyphosate",,,,,,
C0096,field,insecticide_application,categorical,number_of_foragers,continuous ,pollination,Mangifera spp.,8,4,"386,58","75,16",4,"357,94","105,59",linear_mixed_effect,yes,normal,chi_squared,"0,36",,,,,page_4,apis_mellifera,,,,,,
C0096,field,insecticide_application,categorical,number_of_foragers,continuous ,pollination,Mangifera spp.,8,4,"117,41","48,62",4,"229,13","24,31",linear_mixed_effect,yes,normal,chi_squared,"6,25",,,,,page_4,scaptotrigona_mexicana,,,,,,
C0096,field,insecticide_application,categorical,colony_strenght ,continuous ,community,,8,4,"7224,08","923,08",4,"5979,93","2297,66","wilcoxon_rank ",no,NA,W ,28,,,,,,apis_mellifera,,,,,,
C0096,field,insecticide_application,categorical,colony_strenght ,continuous ,community,,8,4,"496,86","126,46",4,"377,58","35,88","wilcoxon_rank ",no ,NA,W ,"12,5",,,,,page_4_figure_2,scaptotrigona_mexicana,,,,,,
C0098,field,intensity_of_pesticide,categorical,bee_abundance,continuous ,community,,12,5,"6,43","1,2",7,"5,21","0,74",generalized_linear_mixed_model,no,poisson,chi-squared,"0,46",,,,,page_44_fig_2,bumblebees,,,,,,
C0098,field,intensity_of_pesticide,categorical,bee_abundance,continuous ,community,,12,5,"1,66","0,36",7,"0,39","0,08",generalized_linear_mixed_model,no,poisson,chi-squared,"21,48",,,,,page_44_fig_2,honey_bees,,,,,,
C0098,field,intensity_of_pesticide,categorical,bee_abundance,continuous ,community,,12,5,"0,91","0,18",7,"0,38","0,09",generalized_linear_mixed_model,no,poisson,chi-squared,"9,53",,,,,page_44_fig_2,solitary_bees,,,,,,
C0110,field,years,continuous ,persistence,continuous ,pollination,Brassica napus L.,,,,,,,,,,,,,,,,,page_3,,,,,,,
C0119,field,amount_of_pesticide_applied,continuous ,bee_abundance,continuous ,community,,5673,4,NA,NA,15,NA,NA,linear_regression,yes,normal,r,,,,,,page_1005_figure_2,,,,,,,
C0119,field,amount_of_pesticide_applied,continuous ,bee_richness,continuous ,community,,80,4,NA,NA,15,NA,NA,linear_regression,yes,normal,r,,,,,,page_1005_figure_2,,,,,,,
C0120,field,insecticide_application,continuous ,bee_abundance,continuous ,community,,1008,NA,NA,NA,NA,NA,NA,linear_mixed_effect,yes,normal,r_squared ,page_651_text,,"p<0,001",,,page_652_fig_1b,,,,,,,
C0120,field,insecticide_application,continuous ,bee_richness,continuous ,community,,31,NA,NA,NA,NA,NA,NA,linear_mixed_effect,yes,normal,z,-1.658,,"p>0,05",,,page_653_text,,,,,,,
C0135,field,amount_of_pesticide_applied,continuous ,bee_abundance,continuous ,community,,15,NA,NA,NA,NA,NA,NA,linear_regression,yes,normal,r_squared,"0,26",,"0,05",,,page_671_text_fig1,2004,,,,,,
C0135,field,amount_of_pesticide_applied,continuous ,bee_abundance,continuous ,community,,15,NA,NA,NA,NA,NA,NA,linear_regression,yes,normal,r_squared,"0,24",,"0,06",,,page_671_text_fig1,2005,,,,,,
C0135,field,amount_of_pesticide_applied,continuous ,bee_abundance,continuous ,community,,15,NA,NA,NA,NA,NA,NA,linear_regression,yes,normal,F,"1,16",,"0,3",,,page_671_text_fig1,2006,,,,,,
C0135,field,amount_of_pesticide_applied,continuous ,bee_richness,continuous ,community,,15,NA,NA,NA,NA,NA,NA,linear_regression,yes,normal,r_squared ,"0,37",,"0,02",,,page_671_text_fig1,2004,,,,,,
C0135,field,amount_of_pesticide_applied,continuous ,bee_richness,continuous ,community,,15,NA,NA,NA,NA,NA,NA,linear_regression       ,yes,normal,r_squared,"0,44",,"0,007",,,page_671_text_fig1,2005,,,,,,
C0135,field,amount_of_pesticide_applied,continuous ,bee_richness,continuous ,community,,15,NA,NA,NA,NA,NA,NA,linear_regression,yes,normal,F,"1,95",,"0,19",,,page_671_text_fig1,2006,,,,,,
C0135,field,amount_of_pesticide_applied,continuous ,bee_diversity,continuous ,community,,15,NA,NA,NA,NA,NA,NA,linear_regression,yes,normal,F,"1,83",,"0,2",,,page_671_text_fig1,2004,,,,,,
C0135,field,amount_of_pesticide_applied,continuous ,bee_diversity,continuous ,community,,15,NA,NA,NA,NA,NA,NA,linear_regression,yes,normal,r_squared ,"0,28",,"0,04",,,page_671_text_fig1,2005,,,,,,
C0135,field,amount_of_pesticide_applied,continuous ,bee_diversity,continuous ,community,,15,NA,NA,NA,NA,NA,NA,linear_regression,yes,normal,F,"2,79",,"0,12",,,page_671_text_fig1,2006,,,,,,
C0140,field,insecticide_application,categorical,number_of_nests,continuous ,community,,4,2,112,0,2,15,0,chi-squared,no,NA,x2,"185,6",1,"<0,001",,,page_814_table_3,,,,,,,
C0141,laboratory,dose_of_pesticide_applied,categorical,number_of_bees,continuous ,community,,14,7,"47,18","7,41",7,"29,5","3,54",,,,,,,,,,page_622_fig1,"0,2 mg/kg de spinosad",,,,,,
C0141,laboratory,dose_of_pesticide_applied,categorical,number_of_bees,continuous ,community,,14,7,"47,18","7,41",7,"36,57","2,67",,,,,,,,,,page_622_fig1,"0,8 mg/kg de spinosad",,,,,,
C0141,laboratory,dose_of_pesticide_applied,categorical,number_of_bees,continuous ,community,,14,7,"47,18","7,41",7,"15,02","1,73",,,,,,,,,,page_622_fig1,"8,0 mg/kg de spinosad",,,,,,
C0142,field,pesticide_use,categorical,density_of_bees,continuous ,community,,25,12,NA,NA,13,NA,NA,general_linear_model,no,NA,F,"0,62",1,"0,438",,,table_1,bee_specie_p. pruinosa,,,,,,
C0142,field,pesticide_use,categorical,density_of_bees,continuous ,community,,25,12,NA,NA,13,NA,NA,general_linear_model,no,NA,F,0,1,"0,96",,,table_2,bee_specie_bumblebee,,,,,,
C0143,field,insecticide_application,continuous ,mean_pollen_deposition,continuous ,pollination,Citrullus lanatus,3349,NA,NA,NA,NA,NA,NA,least_square_single_regression,,normal,t,"-0,65",NA,"0,52","-0,005",,page_1114_table_1,honeybee,,,,,,
C0144,field,agriculture_intensification,categorical,pollen_deposition,continuous ,pollination,Citrullus lanatus,10,4,"628,07","309,12",6,"287,05","90,77",,,,,,,,,,page_16813_fig1,,,,,,,
C0144,field,farm_type,categorical,bee_diversity,continuous ,community,,10,4,"3,98","0,42",6,"3,59","0,61",,,,,,,,,,page_16813_fig1,,,,,,,
C0144,field,farm_type,categorical,bee_abundance,continuous ,community,,10,4,"30,85","16,59",6,"24,16","6,57",,,,,,,,,,page_16813_fig1,,,,,,,
C0149,field,crop,categorical,bee_abundance,continuous ,community,,2,1,"0,31",NA,1,"1,82",NA,,,,,,,,,,page_960_table_3,native bees,,,,,,
C0149,field,crop,categorical,bee_abundance,continuous ,community,,2,1,"0,23",NA,1,"1,82",NA,,,,,,,,,,page_960_table_3,native bees,,,,,,
C0149,field,crop,categorical,bee_abundance,continuous ,community,,2,1,"1,77",NA,1,"0,31",NA,,,,,,,,,,page_960_table_3,honey_bees,,,,,,
C0149,field,crop,categorical,bee_abundance,continuous ,community,,2,1,"2,26",NA,1,"0,31",NA,,,,,,,,,,page_960_table_3,honey_bees,,,,,,
C0151,laboratory,dose_of_pesticide,categorical,pollen_consumption,continuous ,pollination,NA,20,10,"7,58","3,42",10,"7,29","1,9",,,,,,,,,,page_8_fig4,"1,13",μg/L,,,,,
C0151,laboratory,dose_of_pesticide,categorical,pollen_consumption,continuous ,pollination,NA,20,10,"7,58","3,42",10,"10,26","2,56",,,,,,,,,,page_8_fig4,"11,3",μg/L,,,,,
C0151,laboratory,dose_of_pesticide,categorical,pollen_consumption,continuous ,pollination,NA,20,10,"7,58","3,42",10,"7,78","2,41",,,,,,,,,,page_8_fig4,113,μg/L,,,,,
C0151,laboratory,dose_of_pesticide,categorical,pollen_consumption,continuous ,pollination,NA,20,10,"7,58","3,42",10,"6,11","3,08",,,,,,,,,,page_8_fig4,1130,μg/L,,,,,
C0151,laboratory,dose_of_pesticide,categorical,pollen_consumption,continuous ,pollination,NA,20,10,"7,58","3,42",10,"1,73","1,21",,,,,,,,,,page_8_fig4,11300,μg/L,,,,,
C0151,laboratory,dose_of_pesticide,categorical,microcolony_drone_production,continuous ,community,,20,10,"19,44","9,93",10,"20,35","7,22",,,,,,,,,,page_10_fig5,"1,13",μg/L,,,,,
C0151,laboratory,dose_of_pesticide,categorical,microcolony_drone_production,continuous ,community,,20,10,"19,44","9,93",10,"25,9","7,78",,,,,,,,,,page_10_fig5,"11,3",μg/L,,,,,
C0151,laboratory,dose_of_pesticide,categorical,microcolony_drone_production,continuous ,community,,20,10,"19,44","9,93",10,"18,47","8,06",,,,,,,,,,page_10_fig5,113,μg/L,,,,,
C0151,laboratory,dose_of_pesticide,categorical,microcolony_drone_production,continuous ,community,,20,10,"19,44","9,93",10,"10,55","6,88",,,,,,,,,,page_10_fig5,1130,μg/L,,,,,
C0151,laboratory,dose_of_pesticide,categorical,microcolony_drone_production,continuous ,community,,20,10,"19,44","9,93",10,"1,94","2,99",,,,,,,,,,page_10_fig5,11300,μg/L,,,,,
C0161,field,farm_management,categorical,bee_abundance,continuous ,community,,18,9,165,33,9,158,31,generalized_linear_mixed_effect,no,poisson ,F,"0,56","1,16","0,47",NA,NA,page_5_table_2,,,,,,,
C0161,field,farm_management,categorical,bee_richness,continuous ,community,,18,9,27,3,9,25,2,generalized_linear_mixed_effect,no,poisson ,F,"0,19","1,16","0,67",NA,NA,page_5_table_2,,,,,,,
C0161,field,farm_management,categorical,eveness,continuous ,community,,18,9,"0,8","0,02",9,"0,85","0,02",generalized_linear_mixed_effect,no,poisson ,F,"3,55","1,16","0,08",NA,NA,page_5_table_2,,,,,,,
C0177,field,farm_management,categorical,bee_abundance,continuous ,community,,36,18,"17,11","2,22",18,"15,46","3,17",,,,,,,,,,page_96_fig2,bumblee_bee,,,,,,
C0177,field,farm_management,categorical,bee_abundance,continuous ,community,,36,18,"6,18","1,64",18,"5,97","2,25",,,,,,,,,,page_96_fig2,bumblee_bee,,,,,,
C0177,field,farm_management,categorical,bee_abundance,continuous ,community,,36,18,"42,13","10,07",18,"31,73","4,53",,,,,,,,,,page_96_fig2,solitary_bee,,,,,,
C0177,field,farm_management,categorical,bee_abundance,continuous ,community,,36,18,"55,17","13,64",18,"38,59","14,32",,,,,,,,,,page_96_fig2,solitary_bee,,,,,,
C0177,field,farm_management,categorical,bee_richness,continuous ,community,,36,18,"3,78","0,31",18,"3,56","0,29",,,,,,,,,,page_96_fig2,bumblee_bee,,,,,,
C0177,field,farm_management,categorical,bee_richness,continuous ,community,,36,18,"2,89","0,41",18,"2,11","0,48",,,,,,,,,,page_96_fig2,bumblee_bee,,,,,,
C0177,field,farm_management,categorical,bee_richness,continuous ,community,,36,18,"10,54","1,61",18,"9,62","1,18",,,,,,,,,,page_96_fig2,solitary_bee,,,,,,
C0177,field,farm_management,categorical,bee_richness,continuous ,community,,36,18,"13,64","2,54",18,"10,4","2,45",,,,,,,,,,page_96_fig2,solitary_bee,,,,,,
C0179,laboratory,dose_of_fertilizer ,continuous ,sunflower_yield,continuous ,pollination,Helianthus annuus L.,720,NA,NA,NA,NA,NA,NA,generalized_additive_mixed_models,,,F,"5,39","1,66","<0,0001",NA,NA,page_3_table_1,"bumblee bee, solitary bees and honeybees",,,,,,
C0179,laboratory,dose_of_fertilizer ,continuous ,sunflower_seed_set,continuous ,pollination,Helianthus annuus L.,720,NA,NA,NA,NA,NA,NA,generalized_additive_mixed_models,,,F,"0,34","0,79","0,0905",NA,NA,page_3_table_1,,,,,,,
C0179,laboratory,dose_of_fertilizer ,continuous ,sunflower_total_number_of_seeds,continuous ,pollination,Helianthus annuus L.,720,NA,NA,NA,NA,NA,NA,generalized_additive_mixed_models,,,F,"0,56","0,97","0,0473",NA,NA,page_3_table_1,,,,,,,
C0179,laboratory,dose_of_fertilizer ,continuous ,sunflower_weigth_of_1000_seeds,continuous ,pollination,Helianthus annuus L.,720,NA,NA,NA,NA,NA,NA,generalized_additive_mixed_models,,,F,"0,42","0,91","0,078",NA,NA,page_3_table_1,,,,,,,
C0179,laboratory,dose_of_fertilizer ,continuous ,sunflower_visitation_rate_by_bees,continuous ,pollination,Helianthus annuus L.,720,NA,NA,NA,NA,NA,NA,generalized_additive_mixed_models,,,F,"0,001",1,"0,979",NA,NA,page_3_table_1,,,,,,,
C0179,laboratory,pollination,continuous ,sunflower_yield,continuous ,pollination,Helianthus annuus L.,720,NA,NA,NA,NA,NA,NA,generalized_additive_mixed_models,,,F,"24,16","2,29","<0,0001",NA,NA,page_3_table_1,,,,,,,
C0179,laboratory,pollination,continuous ,sunflower_seed_set,continuous ,pollination,Helianthus annuus L.,720,NA,NA,NA,NA,NA,NA,generalized_additive_mixed_models,,,F,"25,53","2,57","<0,0001",NA,NA,page_3_table_1,,,,,,,
C0179,laboratory,pollination,continuous ,sunflower_total_number_of_seeds,continuous ,pollination,Helianthus annuus L.,720,NA,NA,NA,NA,NA,NA,generalized_additive_mixed_models,,,F,"0,07","0,19","0,234",NA,NA,page_3_table_1,,,,,,,
C0179,laboratory,pollination,continuous ,sunflower_weigth_of_1000_seeds,continuous ,pollination,Helianthus annuus L.,720,NA,NA,NA,NA,NA,NA,generalized_additive_mixed_models,,,F,"4,33","1,86","0,0037",NA,NA,page_3_table_1,,,,,,,
C0180,laboratory,pesticide_expousure,categorical,immune_system ,continuous ,community,,147,73,"1,75","0,22",74,"1,72","0,22",,,,,,,,,,page_277_fig1,,,,,,,
C0180,laboratory,pesticide_expousure,categorical,immune_system ,continuous ,community,,144,73,"1,75","0,22",71,"0,96","0,16",,,,,,,,,,page_277_fig1,,,,,,,
C0180,laboratory,pesticide_expousure,categorical,survival_probability_of_bees,continuous ,community,,169,NA,1,NA,NA,"0,7",NA,,,,,,,,,,page_278_fig3,,,,,,,
C0180,laboratory,pesticide_expousure,categorical,survival_probability_of_bees,continuous ,community,,169,NA,1,NA,NA,"0,89",NA,,,,,,,,,,page_278_fig3,,,,,,,
C0189,laboratory,pesticide_expousure,categorical,adult_bees_odor_learning_acquisition,continuous ,pollination,NA,180,90,"0,73","0,05",90,"0,42","0,05",,,,,,,,,,page_2_fig1,,,,,,,
C0189,laboratory,pesticide_expousure,categorical,adult_bees_odor_learning_acquisition,continuous ,pollination,NA,180,90,"0,73","0,05",90,"0,48","0,05",,,,,,,,,,page_2_fig1,,,,,,,
C0189,laboratory,pesticide_expousure,categorical,adult_bees_odor_learning_retention,continuous ,pollination,NA,180,90,"0,49","0,05",90,"0,3","0,05",,,,,,,,,,page_2_fig1,,,,,,,
C0189,laboratory,pesticide_expousure,categorical,adult_bees_odor_learning_retention,continuous ,pollination,NA,180,90,"0,49","0,05",90,"0,39","0,05",,,,,,,,,,page_2_fig1,,,,,,,
C0189,laboratory,pesticide_expousure,categorical,adult_bees_odor_learning_acquisition,continuous ,pollination,NA,180,90,"0,32","0,05",90,"0,07","0,02",,,,,,,,,,page_2_fig1,,,,,,,
C0189,laboratory,pesticide_expousure,categorical,adult_bees_odor_learning_retention,continuous ,pollination,NA,180,90,"0,67","0,05",90,"0,59","0,06",,,,,,,,,,page_2_fig1,,,,,,,
C0191,laboratory,insecticide_application,categorical,fight_take_off_activity,continuous ,pollination,NA,60,30,27,0,30,27,0,kruskal_wallis,no,NA,H,"0,4",1,"0,53",NA,NA,page_192_fig_3,"insecticide: azadirachtin, para P.helleri",,,,,,
C0191,laboratory,insecticide_application,categorical,fight_take_off_activity,continuous ,pollination,NA,60,30,27,0,30,19,0,kruskal_wallis,no,NA,H,"4,5",1,"0,03",NA,NA,page_192_fig_3,"insecticide: chlorantraniliprole, para P.helleri",,,,,,
C0191,laboratory,insecticide_application,categorical,fight_take_off_activity,continuous ,pollination,NA,60,30,28,0,30,14,0,kruskal_wallis,no,NA,H,"16,7",1,"0,001",NA,NA,page_192_fig_3,"insecticide: azadirachtin, para S. xanthotrica",,,,,,
C0191,laboratory,insecticide_application,categorical,fight_take_off_activity,continuous ,pollination,NA,60,30,28,0,30,13,0,kruskal_wallis,no,NA,H,"13,4",1,"0,001",NA,NA,page_192_fig_3,"insecticide: chlorantraniliprole, para S. xanthotrica",,,,,,
C0191,laboratory,insecticide_application,categorical,fight_take_off_activity,continuous ,pollination,NA,60,30,29,0,30,19,0,kruskal_wallis,no,NA,H,"4,98",1,"0,02",NA,NA,page_193_fig_4,"insecticide: azadirachtin, para P.helleri",,,,,,
C0191,laboratory,insecticide_application,categorical,fight_take_off_activity,continuous ,pollination,NA,60,30,29,0,30,17,0,kruskal_wallis,no,NA,H,"7,84",1,"0,005",NA,NA,page_193_fig_4,"insecticide: chlorantraniliprole, para P.helleri",,,,,,
C0191,laboratory,insecticide_application,categorical,fight_take_off_activity,continuous ,pollination,NA,60,30,25,0,30,20,0,kruskal_wallis,no,NA,H,"1,16",1,"0,28",NA,NA,page_193_fig_4,"insecticide: azadirachtin, para S. xanthotrica",,,,,,
C0191,laboratory,insecticide_application,categorical,fight_take_off_activity,continuous ,pollination,NA,60,30,25,0,30,20,0,kruskal_wallis,no,NA,H,"0,26",1,"0,61",NA,NA,page_193_fig_4,"insecticide: chlorantraniliprole, para S. xanthotrica",,,,,,
C0197,field ,farm_management,categorical,bee_richness,continuous ,community,,18,8,"2,9","0,7",10,"3,5","0,8",NA,NA,NA,NA,NA,,,,,page_276_tabela_1,,,,,,,
C0208,laboratory,insecticide_application,categorical,colony_weight_gain,continuous ,community,,16,8,"66,4",NA,8,"42,21",NA,t-test,yes,normal,,,,,,,page_695_fig3,spray 1,honeybees ,,,,,
C0208,laboratory,insecticide_application,categorical,colony_weight_gain,continuous ,community,,20,10,"27,54",NA,10,"6,67","3,72",,,,,,,,,,page_695_fig3,spray 2,honeybees ,,,,,
C0208,laboratory,insecticide_application,categorical,colony_weight_gain,continuous ,community,,20,10,"41,42",NA,10,"5,32",NA,,,,,,,,,,page_695_fig3,spray 3 ,honeybees ,,,,,
C0208,field,insecticide_application,categorical,amounts_of_pollen_collected ,continuous ,pollination,Brassica napus L.,20,10,"58,74",NA,10,"51,52",NA,,,,,,,,,,page_697_fig6,spray 2,honeybees ,,,,,
